text,canonical_form_1,category_1,severity_rating,severity_description
homo,homosexual,sexual orientation / gender,2.2,Strong
cyberfukk,fuck,sexual anatomy / sexual acts,2.0,Strong
noncongenital,noncongenital,no insult,0.0,None
niggass,nigger,racial / ethnic slurs,2.6,Severe
sixty-nine,69,sexual anatomy / sexual acts,1.2,Mild
stenches,stenches,no insult,0.0,None
kerwham,kerwham,no insult,0.0,None
Birkeniidae,Birkeniidae,no insult,0.0,None
diploidize,diploidize,no insult,0.0,None
shitfuckmotherfucker,motherfucker,sexual anatomy / sexual acts,2.8,Severe
rough-looking,rough-looking,no insult,0.0,None
venosclerosis,venosclerosis,no insult,0.0,None
dog fuck,fuck,sexual anatomy / sexual acts,2.8,Severe
supersignificantly,supersignificantly,no insult,0.0,None
skeesicks,skeesicks,no insult,0.0,None
Wittgensteinian,Wittgensteinian,no insult,0.0,None
fruiting,fruiting,no insult,0.0,None
m0fos,motherfucker,sexual anatomy / sexual acts,2.6,Severe
reinstating,reinstating,no insult,0.0,None
ruinator,ruinator,no insult,0.0,None
phuks,fuck,sexual anatomy / sexual acts,2.2,Strong
unplenished,unplenished,no insult,0.0,None
Monardella,Monardella,no insult,0.0,None
trine,trine,no insult,0.0,None
wire,wire,no insult,0.0,None
assfcker,ass,sexual anatomy / sexual acts,2.8,Severe
imparting,imparting,no insult,0.0,None
podsolization,podsolization,no insult,0.0,None
d0ggy style,doggy style,sexual anatomy / sexual acts,1.8,Strong
aspermatic,aspermatic,no insult,0.0,None
bugger off,bugger,sexual anatomy / sexual acts,1.0,Mild
Roskes,Roskes,no insult,0.0,None
m@asterbated,masturbate,sexual anatomy / sexual acts,1.4,Mild
sulfatase,sulfatase,no insult,0.0,None
cooni3s,coon,racial / ethnic slurs,2.4,Strong
hustler,hustler,other / general insult,1.0,Mild
b1tch35,bitch,sexual orientation / gender,1.0,Mild
three-ribbed,three-ribbed,no insult,0.0,None
cock-sucker,cock,sexual anatomy / sexual acts,2.0,Strong
0ral seks,sex,sexual anatomy / sexual acts,1.0,Mild
nonrevocability,nonrevocability,no insult,0.0,None
myelomere,myelomere,no insult,0.0,None
ladyboys,ladyboy,sexual orientation / gender,2.4,Strong
throat-cracking,throat-cracking,no insult,0.0,None
monolatrous,monolatrous,no insult,0.0,None
mutha fucker,motherfucker,sexual anatomy / sexual acts,2.4,Strong
abscisse,abscisse,no insult,0.0,None
chappow,chappow,no insult,0.0,None
acetone,acetone,no insult,0.0,None
FO,FO,no insult,0.0,None
fcukers,fuck,sexual anatomy / sexual acts,2.2,Strong
queers,queer,sexual orientation / gender,1.8,Strong
Oryx,Oryx,no insult,0.0,None
shitfudgefucker,fuck,bodily fluids / excrement,2.6,Severe
coksucka,cock,sexual anatomy / sexual acts,1.8,Strong
cocooneries,cocooneries,no insult,0.0,None
enravishes,enravishes,no insult,0.0,None
minimiracles,minimiracles,no insult,0.0,None
fastigiated,fastigiated,no insult,0.0,None
epinician,epinician,no insult,0.0,None
zipperhead,zipperhead,racial / ethnic slurs,2.4,Strong
sumbitch,bitch,sexual orientation / gender,1.6,Strong
advise,advise,no insult,0.0,None
Halicoridae,Halicoridae,no insult,0.0,None
comtes,comtes,no insult,0.0,None
nob jockey,knob,sexual anatomy / sexual acts,2.2,Strong
n1ggahs,niggers,racial / ethnic slurs,3.0,Severe
brain,brain,no insult,0.0,None
Gujarat,Gujarat,no insult,0.0,None
microliter,microliter,no insult,0.0,None
pluckiness,pluckiness,no insult,0.0,None
deistic,deistic,no insult,0.0,None
allured,allured,no insult,0.0,None
manuscript,manuscript,no insult,0.0,None
kabuzuchi,kabuzuchi,no insult,0.0,None
motherfk,motherfucker,sexual anatomy / sexual acts,2.8,Severe
spotted-necked,spotted-necked,no insult,0.0,None
hersir,hersir,no insult,0.0,None
isocyanin,isocyanin,no insult,0.0,None
scient,scient,no insult,0.0,None
phukker,fuck,sexual anatomy / sexual acts,2.2,Strong
dismality,dismality,no insult,0.0,None
Maurili,Maurili,no insult,0.0,None
ashole,ass,sexual anatomy / sexual acts,1.6,Strong
pedogenic,pedogenic,no insult,0.0,None
diplosis,diplosis,no insult,0.0,None
radio-phonograph,radio-phonograph,no insult,0.0,None
locutorship,locutorship,no insult,0.0,None
flamboyancy,flamboyancy,no insult,0.0,None
coons,coon,racial / ethnic slurs,2.8,Severe
straggliest,straggliest,no insult,0.0,None
shitdicks,shit,sexual anatomy / sexual acts,2.0,Strong
kitty puncher,kitty puncher,sexual anatomy / sexual acts,2.2,Strong
bitchfuck,fuck,sexual anatomy / sexual acts,2.4,Strong
liever,liever,no insult,0.0,None
Christianogentilism,Christianogentilism,no insult,0.0,None
hypotypic,hypotypic,no insult,0.0,None
dick licker,dick,sexual anatomy / sexual acts,2.4,Strong
piggyfuck,fuck,sexual anatomy / sexual acts,3.0,Severe
wheat-growing,wheat-growing,no insult,0.0,None
kamala,kamala,no insult,0.0,None
limpingly,limpingly,no insult,0.0,None
knobgobbler,knob,sexual anatomy / sexual acts,1.8,Strong
unfeastly,unfeastly,no insult,0.0,None
theomachy,theomachy,no insult,0.0,None
rekindler,rekindler,no insult,0.0,None
ladboys,ladyboy,sexual orientation / gender,1.4,Mild
Pedetinae,Pedetinae,no insult,0.0,None
Gherlein,Gherlein,no insult,0.0,None
finns,finns,no insult,0.0,None
overgratify,overgratify,no insult,0.0,None
nignog,nigger,racial / ethnic slurs,2.8,Severe
Pleurosteon,Pleurosteon,no insult,0.0,None
leopardwood,leopardwood,no insult,0.0,None
shitheads,shit,bodily fluids / excrement,1.8,Strong
CREG,CREG,no insult,0.0,None
surpriser,surpriser,no insult,0.0,None
trefoil,trefoil,no insult,0.0,None
unvitriolized,unvitriolized,no insult,0.0,None
ditton,ditton,no insult,0.0,None
blue-collar,blue-collar,no insult,0.0,None
CADD,CADD,no insult,0.0,None
gaylord,gay,sexual orientation / gender,1.6,Strong
dolt,dolt,mental disability,1.0,Mild
gayness,gay,sexual orientation / gender,1.4,Mild
jizz eater,jizz,sexual anatomy / sexual acts,2.4,Strong
jiggerboo,jiggaboo,racial / ethnic slurs,2.6,Severe
chromaffinic,chromaffinic,no insult,0.0,None
moxa,moxa,no insult,0.0,None
noneastern,noneastern,no insult,0.0,None
assfuck,fuck,sexual anatomy / sexual acts,2.6,Severe
strag,strag,no insult,0.0,None
n0bj0cky,knob,sexual anatomy / sexual acts,2.4,Strong
preenlarging,preenlarging,no insult,0.0,None
Grallatores,Grallatores,no insult,0.0,None
umbrosity,umbrosity,no insult,0.0,None
throater,throater,sexual anatomy / sexual acts,2.4,Strong
shitsfuck,fuck,sexual anatomy / sexual acts,2.2,Strong
flaws,flaws,no insult,0.0,None
oven dodger,oven dodger,racial / ethnic slurs,2.0,Strong
unsnare,unsnare,no insult,0.0,None
unpatternized,unpatternized,no insult,0.0,None
hydatidinous,hydatidinous,no insult,0.0,None
Sihunn,Sihunn,no insult,0.0,None
AICC,AICC,no insult,0.0,None
conservacy,conservacy,no insult,0.0,None
nignigs,nigger,racial / ethnic slurs,3.0,Severe
knobead,knob,sexual anatomy / sexual acts,1.4,Mild
fuck your,fuck,sexual anatomy / sexual acts,2.4,Strong
Horter,Horter,no insult,0.0,None
Kayla,Kayla,no insult,0.0,None
rat baztad,bastard,animal references,1.8,Strong
f_u_c_k,fuck,sexual anatomy / sexual acts,2.2,Strong
devisees,devisees,no insult,0.0,None
heptahedrdra,heptahedrdra,no insult,0.0,None
bellend,bellend,sexual anatomy / sexual acts,1.2,Mild
unexpressable,unexpressable,no insult,0.0,None
c*ntface,cunt,sexual anatomy / sexual acts,3.0,Severe
free-spirited,free-spirited,no insult,0.0,None
shitfck,shit,sexual anatomy / sexual acts,2.4,Strong
jack-tar,jack-tar,no insult,0.0,None
twink,twink,sexual orientation / gender,1.2,Mild
k..!ke,kike,racial / ethnic slurs,3.0,Severe
windwayward,windwayward,no insult,0.0,None
mothafuckz,motherfucker,sexual anatomy / sexual acts,2.6,Severe
dobchick,dobchick,no insult,0.0,None
rechristening,rechristening,no insult,0.0,None
exactingly,exactingly,no insult,0.0,None
isoyohimbine,isoyohimbine,no insult,0.0,None
knob,knob,sexual anatomy / sexual acts,1.4,Mild
m0ng0l0id,mongoloid,mental disability,2.2,Strong
wophead,wop,racial / ethnic slurs,2.2,Strong
Un-lacedaemonian,Un-lacedaemonian,no insult,0.0,None
mincing,mincing,no insult,0.0,None
braggy,braggy,no insult,0.0,None
meagerness,meagerness,no insult,0.0,None
claustrophobias,claustrophobias,no insult,0.0,None
quindecad,quindecad,no insult,0.0,None
acquires,acquires,no insult,0.0,None
Bohs,Bohs,no insult,0.0,None
niggress,nigger,racial / ethnic slurs,3.0,Severe
continuances,continuances,no insult,0.0,None
cocksuccas,cock,sexual anatomy / sexual acts,2.2,Strong
darkhaired,darkhaired,no insult,0.0,None
fuckstar,fuck,sexual anatomy / sexual acts,2.2,Strong
crubeen,crubeen,no insult,0.0,None
corydalin,corydalin,no insult,0.0,None
packerfudgehead,fudge packer,sexual anatomy / sexual acts,2.2,Strong
twatzilla,twat,sexual anatomy / sexual acts,2.0,Strong
fuggings,fuck,sexual anatomy / sexual acts,2.0,Strong
non-essential,non-essential,no insult,0.0,None
repliant,repliant,no insult,0.0,None
drab-coated,drab-coated,no insult,0.0,None
fckahz,fuck,sexual anatomy / sexual acts,2.2,Strong
didynamies,didynamies,no insult,0.0,None
probabilism,probabilism,no insult,0.0,None
Toh,Toh,no insult,0.0,None
ionics,ionics,no insult,0.0,None
overplaced,overplaced,no insult,0.0,None
mausoleal,mausoleal,no insult,0.0,None
existlessness,existlessness,no insult,0.0,None
Lody,Lody,no insult,0.0,None
leeches,leeches,no insult,0.0,None
narrational,narrational,no insult,0.0,None
oinochoes,oinochoes,no insult,0.0,None
pu55y,pussy,sexual anatomy / sexual acts,1.6,Strong
kingsize,kingsize,no insult,0.0,None
Ascalabus,Ascalabus,no insult,0.0,None
infantine,infantine,no insult,0.0,None
Uniroyal,Uniroyal,no insult,0.0,None
Fostoria,Fostoria,no insult,0.0,None
bitchslap,bitch,sexual orientation / gender,1.0,Mild
textbooks,textbooks,no insult,0.0,None
butthole,butt,sexual anatomy / sexual acts,1.2,Mild
monaene,monaene,no insult,0.0,None
spluttering,spluttering,no insult,0.0,None
diplomaing,diplomaing,no insult,0.0,None
diffide,diffide,no insult,0.0,None
Averroist,Averroist,no insult,0.0,None
PNP,PNP,no insult,0.0,None
f@gshit,shit,sexual orientation / gender,2.8,Severe
Turbotville,Turbotville,no insult,0.0,None
froths,froths,no insult,0.0,None
sh1th3ad,shit,bodily fluids / excrement,2.0,Strong
pigfucking,fuck,sexual anatomy / sexual acts,2.6,Severe
presuitability,presuitability,no insult,0.0,None
superagitation,superagitation,no insult,0.0,None
Rosewood,Rosewood,no insult,0.0,None
sterk,sterk,no insult,0.0,None
Orbitolina,Orbitolina,no insult,0.0,None
crystallite,crystallite,no insult,0.0,None
cloth-winding,cloth-winding,no insult,0.0,None
undeflectable,undeflectable,no insult,0.0,None
j-offs,jerk off,sexual anatomy / sexual acts,1.4,Mild
sheer-hulk,sheer-hulk,no insult,0.0,None
anthologically,anthologically,no insult,0.0,None
gourmand,gourmand,no insult,0.0,None
assfck,ass,sexual anatomy / sexual acts,2.6,Severe
credensive,credensive,no insult,0.0,None
cuntasaurus rex,cunt,sexual anatomy / sexual acts,2.8,Severe
pyralid,pyralid,no insult,0.0,None
theriolater,theriolater,no insult,0.0,None
faggots,faggot,sexual orientation / gender,3.0,Severe
awning,awning,no insult,0.0,None
rhythmically,rhythmically,no insult,0.0,None
bollix,bollix,no insult,0.0,None
wet-cheeked,wet-cheeked,no insult,0.0,None
twice-deceived,twice-deceived,no insult,0.0,None
k!k3,kike,racial / ethnic slurs,2.6,Severe
Blasia,Blasia,no insult,0.0,None
fuckster,fuck,sexual anatomy / sexual acts,2.2,Strong
steel-tempered,steel-tempered,no insult,0.0,None
rumpuses,rumpuses,no insult,0.0,None
nonplay,nonplay,no insult,0.0,None
fagging,faggot,sexual orientation / gender,3.0,Severe
long-shut,long-shut,no insult,0.0,None
telegram,telegram,no insult,0.0,None
zip in the wire,zipperhead,racial / ethnic slurs,1.4,Mild
insuccate,insuccate,no insult,0.0,None
Arnoldsburg,Arnoldsburg,no insult,0.0,None
fracases,fracases,no insult,0.0,None
fuk1ng,fuck,sexual anatomy / sexual acts,2.2,Strong
dumb bastard,bastard,other / general insult,1.2,Mild
rehandicap,rehandicap,no insult,0.0,None
shemal3,shemale,sexual orientation / gender,1.8,Strong
lecotropal,lecotropal,no insult,0.0,None
Gylys,Gylys,no insult,0.0,None
centrisms,centrisms,no insult,0.0,None
pleasure-bent,pleasure-bent,no insult,0.0,None
hallopodous,hallopodous,no insult,0.0,None
terebilic,terebilic,no insult,0.0,None
scaffold,scaffold,no insult,0.0,None
sable-cinctured,sable-cinctured,no insult,0.0,None
revoice,revoice,no insult,0.0,None
d!cks,dick,sexual anatomy / sexual acts,1.0,Mild
diriment,diriment,no insult,0.0,None
plutocracies,plutocracies,no insult,0.0,None
kidnapping,kidnapping,no insult,0.0,None
philtered,philtered,no insult,0.0,None
shit-ass,shit,bodily fluids / excrement,2.0,Strong
m0therfvcker,motherfucker,sexual anatomy / sexual acts,3.0,Severe
tarred,tarred,no insult,0.0,None
sorority,sorority,no insult,0.0,None
cholepoietic,cholepoietic,no insult,0.0,None
buteonine,buteonine,no insult,0.0,None
fukwhore,fuck,sexual anatomy / sexual acts,2.8,Severe
two-leaf,two-leaf,no insult,0.0,None
unconsecrative,unconsecrative,no insult,0.0,None
noncandescent,noncandescent,no insult,0.0,None
assfukker,fuck,sexual anatomy / sexual acts,2.6,Severe
pre-Raphaelism,pre-Raphaelism,no insult,0.0,None
unapplauding,unapplauding,no insult,0.0,None
Garfinkel,Garfinkel,no insult,0.0,None
unrescuable,unrescuable,no insult,0.0,None
prosecutrixes,prosecutrixes,no insult,0.0,None
deletive,deletive,no insult,0.0,None
squirters,squirters,no insult,0.0,None
mthrfcker,motherfucker,sexual anatomy / sexual acts,2.6,Severe
twisel,twisel,no insult,0.0,None
indeliberateness,indeliberateness,no insult,0.0,None
feg,faggot,sexual orientation / gender,2.4,Strong
bugger,bugger,sexual anatomy / sexual acts,1.2,Mild
thioalcohol,thioalcohol,no insult,0.0,None
shoot-the-chutes,shoot-the-chutes,no insult,0.0,None
phuccing,fuck,sexual anatomy / sexual acts,1.8,Strong
hesperinos,hesperinos,no insult,0.0,None
fluoridates,fluoridates,no insult,0.0,None
intermarine,intermarine,no insult,0.0,None
mangery,mangery,no insult,0.0,None
reddingite,reddingite,no insult,0.0,None
alleluja,alleluja,no insult,0.0,None
libbet,libbet,no insult,0.0,None
sack,ballsack,sexual anatomy / sexual acts,1.0,Mild
Berkow,Berkow,no insult,0.0,None
goboes,goboes,no insult,0.0,None
befetter,befetter,no insult,0.0,None
phagot,faggot,sexual orientation / gender,3.0,Severe
nuckas,nigger,racial / ethnic slurs,2.6,Severe
dogsh1t,shit,bodily fluids / excrement,1.2,Mild
markasses,ass,sexual anatomy / sexual acts,2.0,Strong
unwasting,unwasting,no insult,0.0,None
jack-boy,jack-boy,no insult,0.0,None
fuckmachine,fuck,sexual anatomy / sexual acts,2.0,Strong
pericentral,pericentral,no insult,0.0,None
mukti,mukti,no insult,0.0,None
pig fucker,fuck,sexual anatomy / sexual acts,2.8,Severe
faggot mothafuckers,motherfucker,sexual anatomy / sexual acts,3.0,Severe
trawlnet,trawlnet,no insult,0.0,None
Telephoto,Telephoto,no insult,0.0,None
jizzy,jizz,bodily fluids / excrement,1.6,Strong
grandfatherly,grandfatherly,no insult,0.0,None
foins,foins,no insult,0.0,None
cuntbollock,cunt,sexual anatomy / sexual acts,2.2,Strong
bastid,bastard,other / general insult,1.2,Mild
fkbny,fuck,sexual anatomy / sexual acts,1.6,Strong
phialing,phialing,no insult,0.0,None
tinkers,tinkers,no insult,0.0,None
clape,clape,no insult,0.0,None
Carolan,Carolan,no insult,0.0,None
Chatterton,Chatterton,no insult,0.0,None
lactationally,lactationally,no insult,0.0,None
ampere-foot,ampere-foot,no insult,0.0,None
shilpits,shilpits,no insult,0.0,None
Palomino,Palomino,no insult,0.0,None
obambulation,obambulation,no insult,0.0,None
shitfk,shit,sexual anatomy / sexual acts,1.8,Strong
perambulatory,perambulatory,no insult,0.0,None
tangent-sawed,tangent-sawed,no insult,0.0,None
funbags,funbags,sexual anatomy / sexual acts,1.0,Mild
large-horned,large-horned,no insult,0.0,None
miked,miked,no insult,0.0,None
Wyano,Wyano,no insult,0.0,None
whoars,whore,sexual orientation / gender,2.0,Strong
dong,dong,sexual anatomy / sexual acts,1.2,Mild
athericeran,athericeran,no insult,0.0,None
narcotism,narcotism,no insult,0.0,None
predynamite,predynamite,no insult,0.0,None
tonsbergite,tonsbergite,no insult,0.0,None
kikes,kike,racial / ethnic slurs,3.0,Severe
flickers,flickers,no insult,0.0,None
faget,faggot,sexual orientation / gender,3.0,Severe
sh1te,shit,bodily fluids / excrement,1.0,Mild
demisemitone,demisemitone,no insult,0.0,None
servilities,servilities,no insult,0.0,None
beckoned,beckoned,no insult,0.0,None
mfing,motherfucker,sexual anatomy / sexual acts,1.8,Strong
irrepatriable,irrepatriable,no insult,0.0,None
l@dyboy,ladyboy,sexual orientation / gender,2.0,Strong
dumbass mofoes,ass,sexual anatomy / sexual acts,2.4,Strong
anal hore,anal,sexual anatomy / sexual acts,2.4,Strong
above-given,above-given,no insult,0.0,None
loose-panicled,loose-panicled,no insult,0.0,None
culvers,culvers,no insult,0.0,None
buttfuck,fuck,sexual anatomy / sexual acts,2.2,Strong
fck,fuck,sexual anatomy / sexual acts,2.4,Strong
back-filleted,back-filleted,no insult,0.0,None
microcosmography,microcosmography,no insult,0.0,None
mispatch,mispatch,no insult,0.0,None
cyberfukks,fuck,sexual anatomy / sexual acts,2.2,Strong
commonest,commonest,no insult,0.0,None
parvirostrate,parvirostrate,no insult,0.0,None
speedways,speedways,no insult,0.0,None
unlibelous,unlibelous,no insult,0.0,None
monophthongize,monophthongize,no insult,0.0,None
Dragoon,Dragoon,no insult,0.0,None
paki,paki,racial / ethnic slurs,2.6,Severe
Elidad,Elidad,no insult,0.0,None
Muscoda,Muscoda,no insult,0.0,None
scrawk,scrawk,no insult,0.0,None
respondent,respondent,no insult,0.0,None
mother effer,motherfucker,sexual anatomy / sexual acts,2.2,Strong
choke-bore,choke-bore,no insult,0.0,None
proceremonialist,proceremonialist,no insult,0.0,None
sesterce,sesterce,no insult,0.0,None
p3n1shead,penis,sexual anatomy / sexual acts,1.8,Strong
POSYBL,POSYBL,no insult,0.0,None
hooters,hooters,sexual anatomy / sexual acts,1.0,Mild
dipshitter,shit,bodily fluids / excrement,1.6,Strong
emgalla,emgalla,no insult,0.0,None
peener,penis,sexual anatomy / sexual acts,1.0,Mild
potlines,potlines,no insult,0.0,None
ridgepoled,ridgepoled,no insult,0.0,None
motha fuckers,motherfucker,sexual anatomy / sexual acts,3.0,Severe
Havaikian,Havaikian,no insult,0.0,None
octopodous,octopodous,no insult,0.0,None
wanked,wank,sexual anatomy / sexual acts,1.2,Mild
predesolation,predesolation,no insult,0.0,None
Tiffy,Tiffy,no insult,0.0,None
consul's,consul's,no insult,0.0,None
shemale,shemale,sexual orientation / gender,2.6,Severe
semidecadently,semidecadently,no insult,0.0,None
Judaeo-arabic,Judaeo-arabic,no insult,0.0,None
sub-rosa,sub-rosa,no insult,0.0,None
Schizophyllum,Schizophyllum,no insult,0.0,None
biches,bitch,sexual orientation / gender,1.4,Mild
oversweet,oversweet,no insult,0.0,None
hieroglyph,hieroglyph,no insult,0.0,None
fuck head,fuck,sexual anatomy / sexual acts,2.4,Strong
mesostethium,mesostethium,no insult,0.0,None
sithen,sithen,no insult,0.0,None
beyotch,bitch,other / general insult,1.2,Mild
peridium,peridium,no insult,0.0,None
pseudoscientific,pseudoscientific,no insult,0.0,None
rookery,rookery,no insult,0.0,None
cock sucking boiolas,cock,sexual anatomy / sexual acts,2.6,Severe
shittasticfuck,fuck,bodily fluids / excrement,2.2,Strong
shitheadfuckface,fuck,sexual anatomy / sexual acts,2.4,Strong
fckked,fuck,sexual anatomy / sexual acts,2.0,Strong
sh1tty,shit,bodily fluids / excrement,1.2,Mild
ailurophobia,ailurophobia,no insult,0.0,None
Rabbinica,Rabbinica,no insult,0.0,None
near-dwelling,near-dwelling,no insult,0.0,None
quadri-invariant,quadri-invariant,no insult,0.0,None
extern,extern,no insult,0.0,None
jai,jai,no insult,0.0,None
pectinibranchian,pectinibranchian,no insult,0.0,None
jounce,jounce,no insult,0.0,None
rabboni,rabboni,no insult,0.0,None
nip,nipple,sexual anatomy / sexual acts,2.0,Strong
fuck y0u,fuck,sexual anatomy / sexual acts,2.4,Strong
Pyraceae,Pyraceae,no insult,0.0,None
jizz licker,jizz,sexual anatomy / sexual acts,2.4,Strong
crevices,crevices,no insult,0.0,None
laterally,laterally,no insult,0.0,None
motherfxck,motherfucker,other / general insult,2.4,Strong
methid,methid,no insult,0.0,None
persuasion's,persuasion's,no insult,0.0,None
picking,picking,no insult,0.0,None
shoddiness,shoddiness,no insult,0.0,None
hot-blast,hot-blast,no insult,0.0,None
extensibleness,extensibleness,no insult,0.0,None
outpart,outpart,no insult,0.0,None
hysteropathy,hysteropathy,no insult,0.0,None
ninety-sixth,ninety-sixth,no insult,0.0,None
malted,malted,no insult,0.0,None
loggerheaded,loggerheaded,no insult,0.0,None
mothafuckers,motherfucker,sexual anatomy / sexual acts,2.6,Severe
nigg@z,nigger,racial / ethnic slurs,2.6,Severe
froise,froise,no insult,0.0,None
barnacled,barnacled,no insult,0.0,None
changeovers,changeovers,no insult,0.0,None
unsanctifying,unsanctifying,no insult,0.0,None
mothafuckings,motherfucker,sexual anatomy / sexual acts,2.8,Severe
knobhead,knob,sexual anatomy / sexual acts,1.6,Strong
unexemptible,unexemptible,no insult,0.0,None
stratig,stratig,no insult,0.0,None
Marlene,Marlene,no insult,0.0,None
fragmentariness,fragmentariness,no insult,0.0,None
bitched,bitch,sexual orientation / gender,1.2,Mild
taharah,taharah,no insult,0.0,None
carnalities,carnalities,no insult,0.0,None
motherfuckings,motherfucker,sexual anatomy / sexual acts,2.8,Severe
plenipotentiarily,plenipotentiarily,no insult,0.0,None
Frontignan,Frontignan,no insult,0.0,None
alternariose,alternariose,no insult,0.0,None
Forster,Forster,no insult,0.0,None
mothafucker,motherfucker,sexual anatomy / sexual acts,3.0,Severe
Ardoch,Ardoch,no insult,0.0,None
man-pleasing,man-pleasing,no insult,0.0,None
emmarbling,emmarbling,no insult,0.0,None
gayest,gay,sexual orientation / gender,1.0,Mild
fuckup,fuck,sexual anatomy / sexual acts,2.0,Strong
axe wound,wound,sexual anatomy / sexual acts,1.2,Mild
bartizans,bartizans,no insult,0.0,None
luminescence,luminescence,no insult,0.0,None
c*nty,cunt,sexual anatomy / sexual acts,2.8,Severe
shits,shit,bodily fluids / excrement,1.0,Mild
fudgefucker,fudge packer,sexual anatomy / sexual acts,3.0,Severe
morphins,morphins,no insult,0.0,None
fuckass,fuck,sexual anatomy / sexual acts,2.4,Strong
wise ass,ass,sexual anatomy / sexual acts,1.0,Mild
tuataras,tuataras,no insult,0.0,None
complicated,complicated,no insult,0.0,None
scandias,scandias,no insult,0.0,None
chandu,chandu,no insult,0.0,None
Pro-asian,Pro-asian,no insult,0.0,None
Hsingan,Hsingan,no insult,0.0,None
superannuities,superannuities,no insult,0.0,None
sorrow-wounded,sorrow-wounded,no insult,0.0,None
superformation,superformation,no insult,0.0,None
Moore,Moore,no insult,0.0,None
punk ass mofoes,motherfucker,sexual anatomy / sexual acts,2.8,Severe
Oza,Oza,no insult,0.0,None
sneaked,sneaked,no insult,0.0,None
Scrivenor,Scrivenor,no insult,0.0,None
overdraft's,overdraft's,no insult,0.0,None
hrzn,hrzn,no insult,0.0,None
gliosis,gliosis,no insult,0.0,None
debiting,debiting,no insult,0.0,None
hirtch,hirtch,no insult,0.0,None
marquisotte,marquisotte,no insult,0.0,None
howdied,howdied,no insult,0.0,None
lithospheric,lithospheric,no insult,0.0,None
trashbitchez,bitch,sexual orientation / gender,1.2,Mild
transsensually,transsensually,no insult,0.0,None
hoes,hoe,sexual orientation / gender,2.0,Strong
Prakrit,Prakrit,no insult,0.0,None
spino-,spino-,no insult,0.0,None
cyberfck,fuck,sexual anatomy / sexual acts,2.2,Strong
@ssfucker,fuck,sexual anatomy / sexual acts,2.8,Severe
uncongruous,uncongruous,no insult,0.0,None
softly,softly,no insult,0.0,None
benightedness,benightedness,no insult,0.0,None
fuckbag,fuck,sexual anatomy / sexual acts,2.6,Severe
observances,observances,no insult,0.0,None
knob eater,knob,sexual anatomy / sexual acts,2.2,Strong
mad-doctor,mad-doctor,no insult,0.0,None
unsafest,unsafest,no insult,0.0,None
dumb fucker,fuck,sexual anatomy / sexual acts,2.0,Strong
rose-bush,rose-bush,no insult,0.0,None
ungamy,ungamy,no insult,0.0,None
declimatize,declimatize,no insult,0.0,None
Posadas,Posadas,no insult,0.0,None
applauses,applauses,no insult,0.0,None
bronc,bronc,no insult,0.0,None
tram-road,tram-road,no insult,0.0,None
skankz,skank,sexual orientation / gender,1.6,Strong
puzzy,pussy,sexual anatomy / sexual acts,1.2,Mild
Amalthaea,Amalthaea,no insult,0.0,None
imparalleled,imparalleled,no insult,0.0,None
dump a load,dump a load,bodily fluids / excrement,1.6,Strong
pecker,pecker,sexual anatomy / sexual acts,1.4,Mild
layer-up,layer-up,no insult,0.0,None
scutelliform,scutelliform,no insult,0.0,None
Saronville,Saronville,no insult,0.0,None
bbc,cock,sexual anatomy / sexual acts,1.4,Mild
dapple-bay,dapple-bay,no insult,0.0,None
Hassett,Hassett,no insult,0.0,None
pelycography,pelycography,no insult,0.0,None
shitterfucker,fuck,sexual anatomy / sexual acts,2.6,Severe
ebullioscope,ebullioscope,no insult,0.0,None
Arcimboldi,Arcimboldi,no insult,0.0,None
bellyached,bellyached,no insult,0.0,None
barfish,barfish,no insult,0.0,None
disconsider,disconsider,no insult,0.0,None
Aedilberct,Aedilberct,no insult,0.0,None
nonnavigableness,nonnavigableness,no insult,0.0,None
unsalably,unsalably,no insult,0.0,None
pentatone,pentatone,no insult,0.0,None
rances,rances,no insult,0.0,None
Elyssa,Elyssa,no insult,0.0,None
stictiform,stictiform,no insult,0.0,None
jiggyboo,jiggaboo,racial / ethnic slurs,3.0,Severe
dickmuncher,dick,sexual anatomy / sexual acts,2.0,Strong
three-day,three-day,no insult,0.0,None
cetera,cetera,no insult,0.0,None
fukin,fuck,sexual anatomy / sexual acts,2.2,Strong
omphalocele,omphalocele,no insult,0.0,None
QEF,QEF,no insult,0.0,None
ouf,ouf,no insult,0.0,None
pentastomoid,pentastomoid,no insult,0.0,None
purprision,purprision,no insult,0.0,None
d1ckz,dick,sexual anatomy / sexual acts,1.0,Mild
ironmongeries,ironmongeries,no insult,0.0,None
unhappy-faced,unhappy-faced,no insult,0.0,None
heal-all,heal-all,no insult,0.0,None
Carpocratian,Carpocratian,no insult,0.0,None
fckyeah,fuck,other / general insult,1.6,Strong
lesbo,lesbian,sexual orientation / gender,2.2,Strong
terraria,terraria,no insult,0.0,None
tar-baby,tar-baby,racial / ethnic slurs,2.6,Severe
dafuq,fuck,sexual anatomy / sexual acts,2.2,Strong
truth-mocking,truth-mocking,no insult,0.0,None
crotch,crotch,sexual anatomy / sexual acts,1.0,Mild
Gamages,Gamages,no insult,0.0,None
suborners,suborners,no insult,0.0,None
outtopping,outtopping,no insult,0.0,None
n1ckker,nigger,racial / ethnic slurs,2.8,Severe
Warrington,Warrington,no insult,0.0,None
jerk-offs,jerk off,sexual anatomy / sexual acts,1.0,Mild
